image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Alejandro_Toledo/Alejandro_Toledo_0022,Alejandro_Toledo,noise_n08_steps2,1,0.1461614966,11.4566431046,
Alejandro_Toledo/Alejandro_Toledo_0023,Alejandro_Toledo,noise_n08_steps2,1,0.0805947781,10.0262126923,
Alejandro_Toledo/Alejandro_Toledo_0024,Alejandro_Toledo,noise_n08_steps2,1,0.1072926521,11.0781478882,
Alejandro_Toledo/Alejandro_Toledo_0025,Alejandro_Toledo,noise_n08_steps2,1,0.0948948860,11.0704927444,
Alejandro_Toledo/Alejandro_Toledo_0026,Alejandro_Toledo,noise_n08_steps2,1,0.1515992880,11.9243907928,
Alejandro_Toledo/Alejandro_Toledo_0027,Alejandro_Toledo,noise_n08_steps2,1,0.1384842396,11.9222965240,
Alejandro_Toledo/Alejandro_Toledo_0028,Alejandro_Toledo,noise_n08_steps2,1,0.1440068483,12.6685895920,
Alejandro_Toledo/Alejandro_Toledo_0029,Alejandro_Toledo,noise_n08_steps2,1,0.1179482937,10.0665807724,
Alejandro_Toledo/Alejandro_Toledo_0030,Alejandro_Toledo,noise_n08_steps2,1,0.1215848327,10.7963171005,
Alejandro_Toledo/Alejandro_Toledo_0031,Alejandro_Toledo,noise_n08_steps2,1,0.1780481339,14.4335975647,
Alejandro_Toledo/Alejandro_Toledo_0032,Alejandro_Toledo,noise_n08_steps2,1,0.1633784771,13.2603054047,
Alejandro_Toledo/Alejandro_Toledo_0033,Alejandro_Toledo,noise_n08_steps2,1,0.1258343458,11.1110248566,
Alejandro_Toledo/Alejandro_Toledo_0034,Alejandro_Toledo,noise_n08_steps2,1,0.2487351298,15.1164407730,
Alejandro_Toledo/Alejandro_Toledo_0035,Alejandro_Toledo,noise_n08_steps2,1,0.1231623888,11.7051553726,
Alejandro_Toledo/Alejandro_Toledo_0036,Alejandro_Toledo,noise_n08_steps2,1,0.1139771938,9.8768491745,
Alejandro_Toledo/Alejandro_Toledo_0037,Alejandro_Toledo,noise_n08_steps2,1,0.1435389519,11.4425764084,
Alejandro_Toledo/Alejandro_Toledo_0038,Alejandro_Toledo,noise_n08_steps2,1,0.1103988886,11.4717121124,
Alejandro_Toledo/Alejandro_Toledo_0039,Alejandro_Toledo,noise_n08_steps2,1,0.1083079576,10.0859766006,
Alvaro_Uribe/Alvaro_Uribe_0001,Alvaro_Uribe,noise_n08_steps2,1,0.1791126728,11.4962711334,
Alvaro_Uribe/Alvaro_Uribe_0002,Alvaro_Uribe,noise_n08_steps2,1,0.1329311728,10.8489570618,
Alvaro_Uribe/Alvaro_Uribe_0003,Alvaro_Uribe,noise_n08_steps2,1,0.1759027243,11.5123281479,
Alvaro_Uribe/Alvaro_Uribe_0004,Alvaro_Uribe,noise_n08_steps2,1,0.1761399508,11.4412965775,
Alvaro_Uribe/Alvaro_Uribe_0005,Alvaro_Uribe,noise_n08_steps2,1,0.1629778147,12.3434944153,
Alvaro_Uribe/Alvaro_Uribe_0006,Alvaro_Uribe,noise_n08_steps2,1,0.1603035331,11.6307754517,
Alvaro_Uribe/Alvaro_Uribe_0007,Alvaro_Uribe,noise_n08_steps2,1,0.1329553127,11.2503376007,
Alvaro_Uribe/Alvaro_Uribe_0008,Alvaro_Uribe,noise_n08_steps2,1,0.1536219120,11.5978746414,
Alvaro_Uribe/Alvaro_Uribe_0009,Alvaro_Uribe,noise_n08_steps2,1,0.1871657968,12.6613464355,
Alvaro_Uribe/Alvaro_Uribe_0010,Alvaro_Uribe,noise_n08_steps2,1,0.1670894027,10.6008186340,
Alvaro_Uribe/Alvaro_Uribe_0011,Alvaro_Uribe,noise_n08_steps2,1,0.1878035069,12.2426023483,
Alvaro_Uribe/Alvaro_Uribe_0012,Alvaro_Uribe,noise_n08_steps2,1,0.1655027866,12.0219173431,
Alvaro_Uribe/Alvaro_Uribe_0013,Alvaro_Uribe,noise_n08_steps2,1,0.1440711021,11.6176548004,
Alvaro_Uribe/Alvaro_Uribe_0014,Alvaro_Uribe,noise_n08_steps2,1,0.2643647194,14.8640642166,
Alvaro_Uribe/Alvaro_Uribe_0015,Alvaro_Uribe,noise_n08_steps2,1,0.1795257330,11.7346811295,
Alvaro_Uribe/Alvaro_Uribe_0016,Alvaro_Uribe,noise_n08_steps2,1,0.1607252359,11.4967107773,
Alvaro_Uribe/Alvaro_Uribe_0017,Alvaro_Uribe,noise_n08_steps2,1,0.1301832199,9.7138586044,
Alvaro_Uribe/Alvaro_Uribe_0018,Alvaro_Uribe,noise_n08_steps2,1,0.1578805447,11.3139753342,
Alvaro_Uribe/Alvaro_Uribe_0019,Alvaro_Uribe,noise_n08_steps2,1,0.1320736408,10.4709558487,
Alvaro_Uribe/Alvaro_Uribe_0020,Alvaro_Uribe,noise_n08_steps2,1,0.1462187767,10.9792795181,
Alvaro_Uribe/Alvaro_Uribe_0021,Alvaro_Uribe,noise_n08_steps2,1,0.1446540952,10.2793512344,
Alvaro_Uribe/Alvaro_Uribe_0022,Alvaro_Uribe,noise_n08_steps2,1,0.2159841061,13.0466136932,
Alvaro_Uribe/Alvaro_Uribe_0023,Alvaro_Uribe,noise_n08_steps2,1,0.1877851486,11.9014339447,
Alvaro_Uribe/Alvaro_Uribe_0024,Alvaro_Uribe,noise_n08_steps2,1,0.1019259691,9.3903427124,
Alvaro_Uribe/Alvaro_Uribe_0025,Alvaro_Uribe,noise_n08_steps2,1,0.1736087799,11.9707145691,
Alvaro_Uribe/Alvaro_Uribe_0026,Alvaro_Uribe,noise_n08_steps2,1,0.2160307169,12.6155443192,
Alvaro_Uribe/Alvaro_Uribe_0027,Alvaro_Uribe,noise_n08_steps2,1,0.2069920301,12.9752140045,
Alvaro_Uribe/Alvaro_Uribe_0028,Alvaro_Uribe,noise_n08_steps2,1,0.2112432718,13.7538728714,
Alvaro_Uribe/Alvaro_Uribe_0029,Alvaro_Uribe,noise_n08_steps2,1,0.2184128761,13.6820344925,
Alvaro_Uribe/Alvaro_Uribe_0030,Alvaro_Uribe,noise_n08_steps2,1,0.1714774370,11.7769699097,
Alvaro_Uribe/Alvaro_Uribe_0031,Alvaro_Uribe,noise_n08_steps2,1,0.1310120821,10.3823947906,
Alvaro_Uribe/Alvaro_Uribe_0032,Alvaro_Uribe,noise_n08_steps2,1,0.1472733021,10.1396751404,
Alvaro_Uribe/Alvaro_Uribe_0033,Alvaro_Uribe,noise_n08_steps2,1,0.1995507479,11.8062772751,
Alvaro_Uribe/Alvaro_Uribe_0034,Alvaro_Uribe,noise_n08_steps2,1,0.1650404930,10.9094305038,
Alvaro_Uribe/Alvaro_Uribe_0035,Alvaro_Uribe,noise_n08_steps2,1,0.1498650908,11.8067827225,
Amelie_Mauresmo/Amelie_Mauresmo_0001,Amelie_Mauresmo,noise_n08_steps2,1,0.1442136765,13.5038871765,
Amelie_Mauresmo/Amelie_Mauresmo_0002,Amelie_Mauresmo,noise_n08_steps2,1,0.1469580531,11.8477659225,
Amelie_Mauresmo/Amelie_Mauresmo_0003,Amelie_Mauresmo,noise_n08_steps2,1,0.0999761820,10.7420568466,
Amelie_Mauresmo/Amelie_Mauresmo_0004,Amelie_Mauresmo,noise_n08_steps2,1,0.1167498827,10.9189863205,
Amelie_Mauresmo/Amelie_Mauresmo_0005,Amelie_Mauresmo,noise_n08_steps2,1,0.1219536662,11.1930112839,
Amelie_Mauresmo/Amelie_Mauresmo_0006,Amelie_Mauresmo,noise_n08_steps2,1,0.1437798738,13.1390790939,
Amelie_Mauresmo/Amelie_Mauresmo_0007,Amelie_Mauresmo,noise_n08_steps2,1,0.1253868937,12.4152088165,
Amelie_Mauresmo/Amelie_Mauresmo_0008,Amelie_Mauresmo,noise_n08_steps2,1,0.1079508066,11.0937461853,
Amelie_Mauresmo/Amelie_Mauresmo_0009,Amelie_Mauresmo,noise_n08_steps2,1,0.0927743316,9.8636550903,
Amelie_Mauresmo/Amelie_Mauresmo_0010,Amelie_Mauresmo,noise_n08_steps2,1,0.0870713592,9.3230314255,
Amelie_Mauresmo/Amelie_Mauresmo_0011,Amelie_Mauresmo,noise_n08_steps2,1,0.1461634636,12.1296586990,
Amelie_Mauresmo/Amelie_Mauresmo_0012,Amelie_Mauresmo,noise_n08_steps2,1,0.1914000511,14.3529348373,
Amelie_Mauresmo/Amelie_Mauresmo_0013,Amelie_Mauresmo,noise_n08_steps2,1,0.1654796004,12.6207342148,
Amelie_Mauresmo/Amelie_Mauresmo_0014,Amelie_Mauresmo,noise_n08_steps2,1,0.0958602428,10.5762414932,
Amelie_Mauresmo/Amelie_Mauresmo_0015,Amelie_Mauresmo,noise_n08_steps2,1,0.1832380295,12.5601110458,
Amelie_Mauresmo/Amelie_Mauresmo_0016,Amelie_Mauresmo,noise_n08_steps2,1,0.1468586922,12.1146469116,
Amelie_Mauresmo/Amelie_Mauresmo_0017,Amelie_Mauresmo,noise_n08_steps2,1,0.1217015982,10.8582897186,
Amelie_Mauresmo/Amelie_Mauresmo_0018,Amelie_Mauresmo,noise_n08_steps2,1,0.1068785191,11.4592409134,
Amelie_Mauresmo/Amelie_Mauresmo_0019,Amelie_Mauresmo,noise_n08_steps2,1,0.1273384094,11.3446702957,
Amelie_Mauresmo/Amelie_Mauresmo_0020,Amelie_Mauresmo,noise_n08_steps2,1,0.1789551973,13.5662860870,
Amelie_Mauresmo/Amelie_Mauresmo_0021,Amelie_Mauresmo,noise_n08_steps2,1,0.1642681956,12.3669385910,
Andre_Agassi/Andre_Agassi_0001,Andre_Agassi,noise_n08_steps2,1,0.1428714991,10.7285184860,
Andre_Agassi/Andre_Agassi_0002,Andre_Agassi,noise_n08_steps2,1,0.1382762194,11.6453590393,
